delivery_id,customer_name,address,latitude,longitude,package_weight,package_volume,priority,time_window_start,time_window_end,service_time,delivery_date
DEL_001,"Rodriguez, Figueroa and Sanchez",181 Johnson Course,-23.552101175737477,-46.63522135759967,7.238218300043422,0.5241004024827632,high,8,15,23,2025-09-22
DEL_002,Hall PLC,386 Shane Harbors,-23.553128293240228,-46.63189614192107,5.856630382688282,1.0601750473963885,low,12,16,27,2025-09-22
DEL_003,Blake and Sons,4235 Christopher Court Suite 594,-23.582562859415724,-46.677363422687165,5.900795239997069,1.2196047993642265,low,14,16,27,2025-09-22
DEL_004,Blair PLC,1849 Ray Squares,-23.575066653738965,-46.620315226251726,5.775187171635926,1.5506388451123954,low,8,18,8,2025-09-22
DEL_005,Williams and Sons,31647 Martin Knoll Apt. 419,-23.57225416121312,-46.60665770542589,6.98076124693932,0.18255584155388466,medium,12,15,17,2025-09-22
DEL_006,"Jackson, Daniel and Martin",8350 Lydia Valley Suite 641,-23.524702847726836,-46.61937010475692,15.901675087613862,1.782358321079933,medium,12,16,27,2025-09-22
DEL_007,Gentry PLC,76724 John Points Suite 969,-23.49058864371296,-46.605312124898816,19.44017434932295,1.9719208892554396,low,14,15,17,2025-09-22
DEL_008,Cox-Osborn,710 Eric Estate,-23.56161556294387,-46.57071093236644,9.438388384767064,0.8033438375220769,low,13,17,27,2025-09-22
DEL_009,"Henderson, Brown and James",480 Erin Plain Suite 514,-23.490761911800398,-46.658416915088715,15.42370963884121,0.42516343157638425,high,9,16,19,2025-09-22
DEL_010,Moore-Smith,281 Skinner Parkways Apt. 252,-23.622400958027654,-46.56531605447419,16.179994116425277,1.158204513171828,high,10,15,12,2025-09-22
DEL_011,"Ashley, Nielsen and Sellers",0154 Brian Wells Apt. 171,-23.515400014051426,-46.705749833676855,10.328537282047058,0.22575834990193974,high,13,17,11,2025-09-22
DEL_012,"Cannon, Anderson and Alvarez",8963 Jennifer Locks,-23.572647538451065,-46.66608311382293,22.906415948643318,0.9718185199160576,medium,9,16,28,2025-09-22
DEL_013,"Santos, Kim and Holmes",31509 Brianna Avenue,-23.574845051132975,-46.643181802154714,14.822356760476742,1.8058634788447063,medium,10,16,9,2025-09-22
DEL_014,Zimmerman Inc,05183 Caldwell Forest,-23.559574661125296,-46.633843817689,1.654351197905997,0.3083333476662524,high,9,18,24,2025-09-22
DEL_015,"Anderson, Walls and Duncan",76311 Gomez Loop Suite 010,-23.51533801112791,-46.618468704139666,24.90497381588237,1.1053172556883604,high,14,15,26,2025-09-22
DEL_016,Chandler-Mcbride,33872 White Mountain,-23.56297014677234,-46.700320785670264,13.655773095015482,0.6069678609098312,high,10,15,14,2025-09-22
DEL_017,Baxter Inc,108 Tanya Terrace Apt. 267,-23.592114079393877,-46.61521905939805,23.868490224266463,1.7641205867185688,medium,12,16,21,2025-09-22
DEL_018,Lewis-Morales,60647 Henderson Street,-23.476239579434054,-46.67872483617665,7.811897390491506,1.3140040402454098,high,9,16,16,2025-09-22
DEL_019,"Stanley, Tucker and Lee",98050 Breanna Parkway,-23.546264432031702,-46.687071343160774,19.576348726448675,1.1076719771708372,low,12,17,20,2025-09-22
DEL_020,"Moore, Yu and Miller",91361 Beth Canyon,-23.45828497408546,-46.62195842237478,22.028686006668014,1.6801645057862409,medium,9,15,12,2025-09-22
DEL_021,"Miller, Sandoval and Cunningham",3534 Anderson Rue Suite 751,-23.48228641524281,-46.69898134723097,2.59850957566303,1.0233818803015662,low,14,16,9,2025-09-22
DEL_022,Ellis PLC,83842 Ibarra Gardens,-23.60135979126749,-46.71316554861026,4.545610494866128,1.1025801960946826,high,11,16,22,2025-09-22
DEL_023,Mitchell-Kim,808 Huynh Cove Apt. 411,-23.548218181947522,-46.70224901597965,17.967249834068486,0.8580853699951153,high,13,17,19,2025-09-22
DEL_024,"Tran, Nelson and Jacobs",48740 Cynthia Village Suite 005,-23.514038459201895,-46.65992617887175,6.573687534817195,0.22164920302005536,low,12,16,23,2025-09-22
DEL_025,Walsh LLC,786 Daniel Spurs,-23.549179248414102,-46.62632462919557,15.962022453117424,0.5349893892411933,low,14,17,7,2025-09-22
